ID,Group,Disappeared,AdultFemalesNum,Birth,GroupSize,Age,Rainfall
14,1,0,2,2,6,30,"998,47"
20,1,0,2,2,6,42,"998,47"
14,1,0,2,2,8,42,"352,05"
20,1,0,2,2,8,54,"352,05"
55,1,0,2,2,7,6,"696,96"
57,1,0,2,2,7,6,"696,96"
14,1,0,2,2,7,54,"696,96"
20,1,0,2,2,7,66,"696,96"
55,1,0,2,2,10,18,"553,21"
14,1,0,2,2,10,66,"553,21"
20,1,0,2,2,10,78,"553,21"
57,1,1,2,2,12,24,"553,21"
16,1,1,2,2,11,6,"553,21"
37,1,0,3,2,12,6,"438,91"
55,1,0,3,2,12,30,"438,91"
14,1,0,3,2,12,78,"438,91"
20,1,0,3,2,12,90,"438,91"
15,1,1,3,2,14,1,"438,91"
21,1,1,3,2,14,1,"438,91"
55,1,0,4,0,10,42,"662,68"
14,1,0,4,0,10,90,"662,68"
20,1,1,4,0,10,102,"662,68"
37,1,1,3,0,8,26,"662,68"
55,1,0,2,2,7,54,"279,42"
14,1,0,2,2,7,102,"279,42"
55,1,0,2,2,7,66,"723,15"
14,1,0,2,2,7,114,"723,15"
56,1,1,2,2,9,5,"723,15"
33,1,0,2,2,9,6,"458,48"
52,1,0,2,2,9,6,"458,48"
55,1,0,2,2,9,78,"458,48"
14,1,0,2,2,9,126,"458,48"
52,1,0,2,0,8,18,"980,7"
55,1,0,2,0,8,90,"980,7"
14,1,0,2,0,8,138,"980,7"
31,1,1,2,0,8,13,"980,7"
33,1,1,2,0,8,25,"980,7"
45,1,1,2,0,9,6,"980,7"
52,1,0,3,2,6,30,"366,32"
55,1,0,3,2,6,102,"366,32"
14,1,0,3,2,6,150,"366,32"
47,1,0,3,2,9,7,"1291,85"
52,1,0,3,2,9,42,"1291,85"
14,1,0,3,2,9,162,"1291,85"
55,1,1,3,2,9,114,"1291,85"
44,1,1,3,2,9,8,"1291,85"
52,1,0,2,3,9,54,"687,33"
14,1,0,2,3,9,174,"687,33"
47,1,1,2,3,9,16,"687,33"
53,1,0,3,1,13,7,"692,89"
52,1,0,3,1,13,66,"692,89"
14,1,0,3,1,13,186,"692,89"
55,1,1,3,1,13,126,"692,89"
53,1,0,3,0,13,19,"692,89"
52,1,0,3,0,13,78,"692,89"
55,1,0,3,0,13,138,"692,89"
14,1,0,3,0,13,198,"692,89"
60,2,0,3,3,6,30,"998,47"
62,2,0,3,3,6,30,"998,47"
35,2,0,3,3,6,42,"998,47"
61,2,1,3,3,9,1,"998,47"
30,2,0,3,2,11,6,"352,05"
50,2,0,3,2,11,6,"352,05"
62,2,0,3,2,11,42,"352,05"
35,2,0,3,2,11,54,"352,05"
60,2,1,3,2,13,30,"352,05"
58,2,0,2,2,10,6,"696,96"
50,2,0,2,2,10,18,"696,96"
62,2,0,2,2,10,54,"696,96"
35,2,0,2,2,10,66,"696,96"
30,2,1,2,2,10,26,"696,96"
22,2,0,3,3,11,6,"553,21"
58,2,0,3,3,11,18,"553,21"
50,2,0,3,3,11,30,"553,21"
35,2,0,3,3,11,78,"553,21"
63,2,1,3,3,12,1,"553,21"
62,2,1,3,3,12,66,"553,21"
40,2,0,3,1,8,6,"438,91"
58,2,0,3,1,8,30,"438,91"
50,2,0,3,1,8,42,"438,91"
35,2,1,3,1,8,90,"438,91"
22,2,1,3,1,10,23,"438,91"
40,2,0,2,1,9,18,"662,68"
58,2,0,2,1,9,42,"662,68"
50,2,0,2,1,9,54,"662,68"
38,2,0,3,3,7,6,"279,42"
40,2,0,3,3,7,30,"279,42"
58,2,0,3,3,7,54,"279,42"
50,2,0,3,3,7,66,"279,42"
46,2,0,3,3,10,6,"723,15"
38,2,0,3,3,10,18,"723,15"
40,2,0,3,3,10,42,"723,15"
58,2,0,3,3,10,66,"723,15"
50,2,0,3,3,10,78,"723,15"
59,2,1,3,3,13,1,"723,15"
58,2,0,3,2,12,78,"458,48"
50,2,0,3,2,12,90,"458,48"
10,2,1,3,2,12,11,"458,48"
46,2,1,3,2,12,23,"458,48"
40,2,1,3,2,12,54,"458,48"
38,2,1,3,2,13,28,"458,48"
58,2,0,2,0,11,90,"980,7"
50,2,0,2,0,11,102,"980,7"
64,2,0,3,3,8,30,"366,32"
58,2,0,3,3,8,102,"366,32"
50,2,0,3,3,8,114,"366,32"
3,2,0,3,2,9,7,"1291,85"
54,2,0,3,2,9,7,"1291,85"
64,2,1,3,2,9,44,"1291,85"
58,2,0,3,2,9,114,"1291,85"
50,2,0,3,2,9,126,"1291,85"
23,2,0,2,2,10,6,"687,33"
3,2,0,2,2,10,19,"687,33"
54,2,0,2,2,10,19,"687,33"
58,2,0,2,2,10,126,"687,33"
50,2,0,2,2,10,138,"687,33"
3,2,0,3,3,11,31,"692,89"
58,2,0,3,3,11,138,"692,89"
23,2,1,3,3,14,24,"692,89"
50,2,1,3,3,14,156,"692,89"
51,2,1,3,3,14,1,"692,89"
54,2,1,3,3,15,30,"692,89"
3,2,0,2,0,9,43,"692,89"
58,2,0,2,0,9,150,"692,89"
17,3,0,1,1,5,18,"998,47"
25,3,0,1,1,5,30,"998,47"
27,3,1,2,2,5,7,"352,05"
17,3,0,2,2,5,30,"352,05"
25,3,0,2,2,5,42,"352,05"
17,3,0,2,1,7,42,"696,96"
25,3,0,2,1,7,54,"696,96"
28,3,1,2,2,8,4,"553,21"
17,3,0,2,2,6,54,"553,21"
25,3,0,2,2,6,66,"553,21"
41,3,0,2,2,8,7,"438,91"
17,3,0,2,2,8,66,"438,91"
25,3,0,2,2,8,78,"438,91"
41,3,0,2,1,9,19,"662,68"
17,3,0,2,1,9,78,"662,68"
25,3,0,2,1,9,90,"662,68"
41,3,0,3,2,8,31,"279,42"
17,3,0,3,2,8,90,"279,42"
25,3,0,3,2,8,102,"279,42"
26,3,1,3,2,10,9,"723,15"
41,3,0,3,2,11,43,"723,15"
17,3,0,3,2,11,102,"723,15"
25,3,1,3,2,10,116,"723,15"
18,3,0,2,1,8,7,"458,48"
34,3,0,2,1,8,7,"458,48"
41,3,0,2,1,8,55,"458,48"
17,3,0,2,1,8,114,"458,48"
1,3,0,1,0,8,7,"980,7"
18,3,0,1,0,8,19,"980,7"
34,3,0,1,0,8,19,"980,7"
41,3,0,1,0,8,67,"980,7"
19,3,1,3,3,8,1,"366,32"
18,3,0,3,3,5,31,"366,32"
34,3,0,3,3,5,31,"366,32"
41,3,0,3,3,5,79,"366,32"
42,3,1,3,3,8,5,"1291,85"
18,3,0,3,3,6,43,"1291,85"
34,3,0,3,3,6,43,"1291,85"
41,3,0,3,3,6,91,"1291,85"
49,3,0,3,2,10,7,"687,33"
2,3,1,3,2,11,8,"687,33"
18,3,0,3,2,10,55,"687,33"
34,3,1,3,2,11,55,"687,33"
41,3,0,3,2,10,103,"687,33"
49,3,0,2,2,10,19,"692,89"
18,3,0,2,2,10,67,"692,89"
41,3,0,2,2,10,115,"692,89"
92,3,0,3,0,11,5,"692,89"
29,3,0,3,0,11,7,"692,89"
49,3,0,3,0,11,31,"692,89"
18,3,0,3,0,11,79,"692,89"
41,3,0,3,0,11,127,"692,89"
4,4,0,2,2,8,18,"553,21"
32,4,0,2,2,8,28,"553,21"
11,4,0,2,2,8,42,"553,21"
12,4,0,3,1,8,1,"438,91"
36,4,0,3,1,8,7,"438,91"
39,4,0,3,1,8,7,"438,91"
4,4,0,3,1,8,30,"438,91"
32,4,0,3,1,8,40,"438,91"
11,4,0,3,1,8,54,"438,91"
39,4,1,3,2,8,16,"662,68"
36,4,1,2,2,6,22,"662,68"
4,4,0,2,2,7,42,"662,68"
32,4,1,3,2,8,49,"662,68"
11,4,0,2,2,7,66,"662,68"
5,4,1,2,2,7,1,"279,42"
8,4,0,2,2,5,7,"279,42"
4,4,0,2,2,5,54,"279,42"
11,4,0,2,2,5,78,"279,42"
6,4,1,2,2,8,1,"723,15"
8,4,0,3,2,6,19,"723,15"
4,4,0,3,2,6,66,"723,15"
11,4,0,3,2,6,90,"723,15"
8,4,0,2,2,7,31,"458,48"
4,4,0,2,2,7,78,"458,48"
8,4,0,2,0,8,43,"980,7"
4,4,0,2,0,8,90,"980,7"
9,4,0,2,2,6,1,"366,32"
8,4,0,2,2,6,55,"366,32"
4,4,0,2,2,6,102,"366,32"
8,4,0,2,2,6,67,"1291,85"
4,4,0,2,2,6,114,"1291,85"
43,4,0,2,2,7,6,"687,33"
8,4,0,2,2,7,79,"687,33"
4,4,0,2,2,7,126,"687,33"
24,4,0,2,2,9,6,"692,89"
48,4,0,2,2,9,6,"692,89"
43,4,0,2,2,9,18,"692,89"
8,4,0,2,2,9,91,"692,89"
4,4,0,2,2,9,138,"692,89"
7,4,1,2,0,11,2,"692,89"
13,4,0,2,0,8,6,"692,89"
48,4,1,2,0,11,15,"692,89"
24,4,0,2,0,8,18,"692,89"
43,4,0,2,0,8,30,"692,89"
8,4,0,2,0,8,103,"692,89"
4,4,1,2,0,11,150,"692,89"
23,5,0,3,0,5,36,"692,89"
54,5,0,3,0,5,43,"692,89"
50,5,0,3,0,5,162,"692,89"