ID,Group,Eviction,AdultFemalesNum,GroupSize,Birth,Age,Rainfall,RelatednessHalf,RelatednessQuarter
14,1,0,2,6,2,30,"998,47",0,0
20,1,0,2,6,2,42,"998,47",0,0
14,1,0,2,8,2,42,"352,05",0,0
20,1,0,2,8,2,54,"352,05",0,0
55,1,0,2,7,2,6,"696,96",1,0
57,1,0,2,7,2,6,"696,96",1,0
14,1,0,2,7,2,54,"696,96",1,0
20,1,0,2,7,2,66,"696,96",1,0
55,1,0,2,10,2,18,"553,21",1,0
14,1,0,2,10,2,66,"553,21",2,0
20,1,0,2,10,2,78,"553,21",1,0
57,1,1,2,12,2,24,"553,21",1,1
37,1,0,3,12,2,6,"438,91",1,1
55,1,0,3,12,2,30,"438,91",1,1
14,1,0,3,12,2,78,"438,91",2,0
20,1,0,3,12,2,90,"438,91",2,0
55,1,0,4,10,0,42,"662,68",1,0
14,1,0,4,10,0,90,"662,68",1,0
55,1,0,2,7,2,54,"279,42",0,0
14,1,0,2,7,2,102,"279,42",0,0
55,1,0,2,7,2,66,"723,15",1,0
14,1,0,2,7,2,114,"723,15",0,0
33,1,0,2,9,2,6,"458,48",1,0
52,1,0,2,9,2,6,"458,48",1,0
55,1,0,2,9,2,78,"458,48",1,0
14,1,0,2,9,2,126,"458,48",1,0
52,1,0,2,8,0,18,"980,7",1,1
55,1,0,2,8,0,90,"980,7",2,0
14,1,0,2,8,0,138,"980,7",2,0
31,1,1,2,8,0,13,"980,7",1,1
33,1,1,2,8,0,25,"980,7",1,1
52,1,0,3,6,2,30,"366,32",1,0
55,1,0,3,6,2,102,"366,32",0,0
14,1,0,3,6,2,150,"366,32",1,0
47,1,0,3,9,2,7,"1291,85",1,1
52,1,0,3,9,2,42,"1291,85",1,1
14,1,0,3,9,2,162,"1291,85",2,0
55,1,1,3,9,2,114,"1291,85",2,0
52,1,0,2,9,3,54,"687,33",1,0
14,1,0,2,9,3,174,"687,33",1,0
47,1,1,2,9,3,16,"687,33",0,0
53,1,0,3,13,1,7,"692,89",1,1
52,1,0,3,13,1,66,"692,89",2,0
14,1,0,3,13,1,186,"692,89",1,1
55,1,1,3,13,1,126,"692,89",0,0
53,1,0,3,13,0,19,"692,89",1,1
52,1,0,3,13,0,78,"692,89",2,0
55,1,0,3,13,0,138,"692,89",0,0
14,1,0,3,13,0,198,"692,89",1,1
60,2,0,3,6,3,30,"998,47",1,0
62,2,0,3,6,3,30,"998,47",0,0
35,2,0,3,6,3,42,"998,47",0,0
30,2,0,3,11,2,6,"352,05",1,0
50,2,0,3,11,2,6,"352,05",1,0
62,2,0,3,11,2,42,"352,05",1,0
35,2,0,3,11,2,54,"352,05",1,0
58,2,0,2,10,2,6,"696,96",1,1
50,2,0,2,10,2,18,"696,96",1,1
62,2,0,2,10,2,54,"696,96",2,0
35,2,0,2,10,2,66,"696,96",1,0
22,2,0,3,11,3,6,"553,21",1,0
58,2,0,3,11,3,18,"553,21",1,2
50,2,0,3,11,3,30,"553,21",1,2
35,2,0,3,11,3,78,"553,21",1,0
40,2,0,3,8,1,6,"438,91",1,0
58,2,0,3,8,1,30,"438,91",0,1
50,2,0,3,8,1,42,"438,91",1,1
22,2,1,3,10,1,23,"438,91",1,0
40,2,0,2,9,1,18,"662,68",1,0
58,2,0,2,9,1,42,"662,68",0,1
50,2,0,2,9,1,54,"662,68",1,1
38,2,0,3,7,3,6,"279,42",1,1
40,2,0,3,7,3,30,"279,42",1,1
58,2,0,3,7,3,54,"279,42",0,1
50,2,0,3,7,3,66,"279,42",2,1
46,2,0,3,10,3,6,"723,15",1,0
38,2,0,3,10,3,18,"723,15",1,1
40,2,0,3,10,3,42,"723,15",2,1
58,2,0,3,10,3,66,"723,15",1,1
50,2,0,3,10,3,78,"723,15",2,1
58,2,0,3,12,2,78,"458,48",0,1
50,2,0,3,12,2,90,"458,48",2,1
10,2,1,3,12,2,11,"458,48",1,1
46,2,1,3,12,2,23,"458,48",1,1
40,2,1,3,12,2,54,"458,48",3,1
38,2,1,3,13,2,28,"458,48",1,1
58,2,0,2,11,0,90,"980,7",0,1
50,2,0,2,11,0,102,"980,7",0,1
64,2,0,3,8,3,30,"366,32",0,0
58,2,0,3,8,3,102,"366,32",0,1
50,2,0,3,8,3,114,"366,32",0,1
3,2,0,3,9,2,7,"1291,85",1,1
54,2,0,3,9,2,7,"1291,85",1,1
64,2,0,3,9,2,44,"1291,85",0,0
58,2,0,3,9,2,114,"1291,85",1,1
50,2,0,3,9,2,126,"1291,85",1,1
23,2,0,2,10,2,6,"687,33",1,1
3,2,0,2,10,2,19,"687,33",1,0
54,2,0,2,10,2,19,"687,33",1,1
58,2,0,2,10,2,126,"687,33",1,1
50,2,0,2,10,2,138,"687,33",2,1
3,2,0,3,11,3,31,"692,89",1,0
58,2,0,3,11,3,138,"692,89",2,1
23,2,1,3,14,3,24,"692,89",1,1
50,2,1,3,14,3,156,"692,89",1,1
51,2,1,3,14,3,1,"692,89",1,2
54,2,1,3,15,3,30,"692,89",1,1
3,2,0,2,9,0,43,"692,89",1,0
58,2,0,2,9,0,150,"692,89",1,0
17,3,0,1,5,1,18,"998,47",0,0
25,3,0,1,5,1,30,"998,47",0,0
17,3,0,2,5,2,30,"352,05",0,0
25,3,0,2,5,2,42,"352,05",1,0
17,3,0,2,7,1,42,"696,96",0,0
25,3,0,2,7,1,54,"696,96",0,0
17,3,0,2,6,2,54,"553,21",0,0
25,3,0,2,6,2,66,"553,21",1,0
41,3,0,2,8,2,7,"438,91",1,0
17,3,0,2,8,2,66,"438,91",1,0
25,3,0,2,8,2,78,"438,91",0,0
41,3,0,2,9,1,19,"662,68",1,0
17,3,0,2,9,1,78,"662,68",1,0
25,3,0,2,9,1,90,"662,68",0,0
41,3,0,3,8,2,31,"279,42",1,0
17,3,0,3,8,2,90,"279,42",1,0
25,3,0,3,8,2,102,"279,42",0,0
26,3,1,3,10,2,9,"723,15",1,0
41,3,0,3,11,2,43,"723,15",1,0
17,3,0,3,11,2,102,"723,15",1,0
25,3,1,3,10,2,116,"723,15",1,0
18,3,0,2,8,1,7,"458,48",1,0
34,3,0,2,8,1,7,"458,48",1,1
41,3,0,2,8,1,55,"458,48",2,1
17,3,0,2,8,1,114,"458,48",2,0
1,3,0,1,8,0,7,"980,7",1,1
18,3,0,1,8,0,19,"980,7",1,1
34,3,0,1,8,0,19,"980,7",0,1
41,3,0,1,8,0,67,"980,7",2,1
18,3,0,3,5,3,31,"366,32",2,0
34,3,0,3,5,3,31,"366,32",0,1
41,3,0,3,5,3,79,"366,32",1,1
18,3,0,3,6,3,43,"1291,85",1,1
34,3,0,3,6,3,43,"1291,85",0,1
41,3,0,3,6,3,91,"1291,85",2,1
49,3,0,3,10,2,7,"687,33",1,0
2,3,1,3,11,2,8,"687,33",1,0
18,3,0,3,10,2,55,"687,33",2,0
34,3,1,3,11,2,55,"687,33",1,1
41,3,0,3,10,2,103,"687,33",1,1
49,3,0,2,10,2,19,"692,89",1,0
18,3,0,2,10,2,67,"692,89",2,0
41,3,0,2,10,2,115,"692,89",1,0
92,3,0,3,11,0,5,"692,89",1,1
29,3,0,3,11,0,7,"692,89",1,1
49,3,0,3,11,0,31,"692,89",1,1
18,3,0,3,11,0,79,"692,89",1,1
41,3,0,3,11,0,127,"692,89",2,0
4,4,0,2,8,2,18,"553,21",0,0
32,4,0,2,8,2,28,"553,21",0,0
11,4,0,2,8,2,42,"553,21",0,0
12,4,0,3,8,1,1,"438,91",1,1
36,4,0,3,8,1,7,"438,91",1,1
39,4,0,3,8,1,7,"438,91",1,0
4,4,0,3,8,1,30,"438,91",0,0
32,4,0,3,8,1,40,"438,91",1,0
11,4,0,3,8,1,54,"438,91",2,0
39,4,1,3,8,2,16,"662,68",1,0
36,4,0,2,6,2,22,"662,68",1,0
4,4,0,2,7,2,42,"662,68",0,0
32,4,1,3,8,2,49,"662,68",1,0
11,4,0,2,7,2,66,"662,68",1,0
8,4,0,2,5,2,7,"279,42",1,0
4,4,0,2,5,2,54,"279,42",1,0
11,4,0,2,5,2,78,"279,42",1,0
8,4,0,3,6,2,19,"723,15",1,0
4,4,0,3,6,2,66,"723,15",1,0
11,4,0,3,6,2,90,"723,15",1,0
8,4,0,2,7,2,31,"458,48",0,0
4,4,0,2,7,2,78,"458,48",0,0
8,4,0,2,8,0,43,"980,7",0,0
4,4,0,2,8,0,90,"980,7",0,0
9,4,0,2,6,2,1,"366,32",1,0
8,4,0,2,6,2,55,"366,32",1,0
4,4,0,2,6,2,102,"366,32",0,0
8,4,0,2,6,2,67,"1291,85",0,0
4,4,0,2,6,2,114,"1291,85",0,0
43,4,0,2,7,2,6,"687,33",1,0
8,4,0,2,7,2,79,"687,33",1,0
4,4,0,2,7,2,126,"687,33",0,0
24,4,0,2,9,2,6,"692,89",1,1
48,4,0,2,9,2,6,"692,89",1,0
43,4,0,2,9,2,18,"692,89",1,1
8,4,0,2,9,2,91,"692,89",2,0
4,4,0,2,9,2,138,"692,89",1,0
7,4,1,2,11,0,2,"692,89",1,1
13,4,0,2,8,0,6,"692,89",1,2
48,4,1,2,11,0,15,"692,89",1,1
24,4,0,2,8,0,18,"692,89",1,2
43,4,0,2,8,0,30,"692,89",1,2
8,4,0,2,8,0,103,"692,89",3,0
4,4,1,2,11,0,150,"692,89",2,0
23,5,0,3,5,0,36,"692,89",1,1
54,5,0,3,5,0,43,"692,89",1,1
50,5,0,3,5,0,162,"692,89",2,0