ID,Group,GaveBirth,AdultFemalesNum,Age,Rainfall,GroupSize,,,,,,
14,1,1,2,30,"998,47",6,,,,,,
20,1,1,2,42,"998,47",6,,,,,,
14,1,1,2,42,"352,05",8,,,,,,
20,1,1,2,54,"352,05",8,,,,,,
14,1,1,2,54,"696,96",7,,,,,,
20,1,1,2,66,"696,96",7,,,,,,
14,1,1,2,66,"553,21",10,,,,,,
20,1,1,2,78,"553,21",10,,,,,,
55,1,0,3,30,"438,91",12,,,,,,
14,1,1,3,78,"438,91",12,,,,,,
20,1,1,3,90,"438,91",12,,,,,,
55,1,0,4,42,"662,68",10,,,,,,
14,1,0,4,90,"662,68",10,,,,,,
20,1,0,4,102,"662,68",10,,,,,,
55,1,1,2,54,"279,42",7,,,,,,
14,1,1,2,102,"279,42",7,,,,,,
55,1,1,2,66,"723,15",7,,,,,,
14,1,1,2,114,"723,15",7,,,,,,
55,1,1,2,78,"458,48",9,,,,,,
14,1,1,2,126,"458,48",9,,,,,,
55,1,0,2,90,"980,7",8,,,,,,
14,1,0,2,138,"980,7",8,,,,,,
52,1,0,3,30,"366,32",6,,,,,,
55,1,1,3,102,"366,32",6,,,,,,
14,1,1,3,150,"366,32",6,,,,,,
52,1,1,3,42,"1291,85",9,,,,,,
14,1,1,3,162,"1291,85",9,,,,,,
55,1,1,3,114,"1291,85",9,,,,,,
52,1,1,2,54,"687,33",9,,,,,,
14,1,1,2,174,"687,33",9,,,,,,
52,1,0,3,66,"692,89",13,,,,,,
14,1,1,3,186,"692,89",13,,,,,,
55,1,0,3,126,"692,89",13,,,,,,
52,1,0,3,78,"692,89",13,,,,,,
55,1,0,3,138,"692,89",13,,,,,,
14,1,0,3,198,"692,89",13,,,,,,
60,2,1,3,30,"998,47",6,,,,,,
62,2,1,3,30,"998,47",6,,,,,,
35,2,1,3,42,"998,47",6,,,,,,
62,2,1,3,42,"352,05",11,,,,,,
35,2,1,3,54,"352,05",11,,,,,,
60,2,0,3,30,"352,05",11,,,,,,
62,2,1,2,54,"696,96",10,,,,,,
35,2,1,2,66,"696,96",10,,,,,,
50,2,1,3,30,"553,21",11,,,,,,
35,2,1,3,78,"553,21",11,,,,,,
62,2,1,3,66,"553,21",11,,,,,,
58,2,0,3,30,"438,91",8,,,,,,
50,2,1,3,42,"438,91",8,,,,,,
35,2,0,3,90,"438,91",8,,,,,,
58,2,0,2,42,"662,68",9,,,,,,
50,2,1,2,54,"662,68",9,,,,,,
40,2,1,3,30,"279,42",7,,,,,,
58,2,1,3,54,"279,42",7,,,,,,
50,2,1,3,66,"279,42",7,,,,,,
40,2,1,3,42,"723,15",10,,,,,,
58,2,1,3,66,"723,15",10,,,,,,
50,2,1,3,78,"723,15",10,,,,,,
58,2,1,3,78,"458,48",12,,,,,,
50,2,1,3,90,"458,48",12,,,,,,
40,2,1,3,54,"458,48",12,,,,,,
58,2,0,2,90,"980,7",11,,,,,,
50,2,0,2,102,"980,7",11,,,,,,
64,2,1,3,30,"366,32",8,,,,,,
58,2,1,3,102,"366,32",8,,,,,,
50,2,1,3,114,"366,32",8,,,,,,
64,2,0,3,44,"1291,85",9,,,,,,
58,2,1,3,114,"1291,85",9,,,,,,
50,2,1,3,126,"1291,85",9,,,,,,
58,2,1,2,126,"687,33",10,,,,,,
50,2,1,2,138,"687,33",10,,,,,,
3,2,0,3,31,"692,89",11,,,,,,
58,2,1,3,138,"692,89",11,,,,,,
50,2,1,3,156,"692,89",11,,,,,,
54,2,0,3,30,"692,89",11,,,,,,
3,2,0,2,43,"692,89",9,,,,,,
58,2,0,2,150,"692,89",9,,,,,,
25,3,1,1,30,"998,47",5,,,,,,
17,3,1,2,30,"352,05",5,,,,,,
25,3,1,2,42,"352,05",5,,,,,,
17,3,1,2,42,"696,96",7,,,,,,
25,3,1,2,54,"696,96",7,,,,,,
17,3,1,2,54,"553,21",6,,,,,,
25,3,1,2,66,"553,21",6,,,,,,
17,3,1,2,66,"438,91",8,,,,,,
25,3,1,2,78,"438,91",8,,,,,,
17,3,1,2,78,"662,68",9,,,,,,
25,3,1,2,90,"662,68",9,,,,,,
41,3,0,3,31,"279,42",8,,,,,,
17,3,1,3,90,"279,42",8,,,,,,
25,3,1,3,102,"279,42",8,,,,,,
41,3,1,3,43,"723,15",11,,,,,,
17,3,1,3,102,"723,15",11,,,,,,
25,3,0,3,116,"723,15",11,,,,,,
41,3,1,2,55,"458,48",8,,,,,,
17,3,0,2,114,"458,48",8,,,,,,
41,3,0,1,67,"980,7",8,,,,,,
18,3,1,3,31,"366,32",5,,,,,,
34,3,1,3,31,"366,32",5,,,,,,
41,3,1,3,79,"366,32",5,,,,,,
18,3,1,3,43,"1291,85",6,,,,,,
34,3,1,3,43,"1291,85",6,,,,,,
41,3,1,3,91,"1291,85",6,,,,,,
18,3,1,3,55,"687,33",10,,,,,,
34,3,0,3,55,"687,33",10,,,,,,
41,3,1,3,103,"687,33",10,,,,,,
18,3,1,2,67,"692,89",10,,,,,,
41,3,1,2,115,"692,89",10,,,,,,
49,3,0,3,31,"692,89",11,,,,,,
18,3,0,3,79,"692,89",11,,,,,,
41,3,0,3,127,"692,89",11,,,,,,
11,4,1,2,42,"553,21",8,,,,,,
4,4,0,3,30,"438,91",8,,,,,,
32,4,1,3,40,"438,91",8,,,,,,
11,4,1,3,54,"438,91",8,,,,,,
4,4,0,2,42,"662,68",7,,,,,,
32,4,1,3,49,"662,68",7,,,,,,
11,4,1,2,66,"662,68",7,,,,,,
4,4,1,2,54,"279,42",5,,,,,,
11,4,1,2,78,"279,42",5,,,,,,
4,4,1,3,66,"723,15",6,,,,,,
11,4,0,3,90,"723,15",6,,,,,,
8,4,1,2,31,"458,48",7,,,,,,
4,4,1,2,78,"458,48",7,,,,,,
8,4,0,2,43,"980,7",8,,,,,,
4,4,0,2,90,"980,7",8,,,,,,
8,4,1,2,55,"366,32",6,,,,,,
4,4,1,2,102,"366,32",6,,,,,,
8,4,1,2,67,"1291,85",6,,,,,,
4,4,1,2,114,"1291,85",6,,,,,,
8,4,1,2,79,"687,33",7,,,,,,
4,4,1,2,126,"687,33",7,,,,,,
8,4,1,2,91,"692,89",9,,,,,,
4,4,1,2,138,"692,89",9,,,,,,
43,4,0,2,30,"692,89",8,,,,,,
8,4,0,2,103,"692,89",8,,,,,,
4,4,0,2,150,"692,89",8,,,,,,
23,5,0,3,36,"692,89",5,,,,,,
54,5,0,3,43,"692,89",5,,,,,,
50,5,0,3,162,"692,89",5,,,,,,